[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '1f']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
[34370, '00000000', '00', '0', '0', '00000000', '0000', '000', '000', '00']
